"x"	"y"	"z"	"r"	"g"	"b"	"a"
"234"	-0.186762	0.0946512	0.5411	159	148	113	255
"235"	-0.184925	0.0945922	0.542001	166	154	125	255
"236"	-0.183787	0.0952209	0.546945	150	138	109	255
"237"	-0.182796	0.0960182	0.552899	156	144	115	255
"238"	-0.155914	0.0806342	0.470317	162	148	105	255
"239"	-0.154233	0.0805932	0.471226	158	146	103	255
"240"	-0.152397	0.0803826	0.471126	128	116	73	255
"241"	-0.141852	0.0776542	0.460534	163	150	112	255
"242"	-0.140175	0.0776135	0.461444	146	133	95	255
"243"	-0.134562	0.0838018	0.506198	159	149	112	255
"244"	-0.131939	0.0825895	0.500046	163	152	119	255
"245"	-0.129795	0.0820395	0.497926	134	120	100	255
"246"	-0.189576	0.093368	0.54426	157	146	109	255
"247"	-0.186825	0.0924557	0.540104	149	138	107	255
"248"	-0.184991	0.0923942	0.541005	135	125	98	255
"249"	-0.183858	0.0930096	0.54595	142	132	105	255
"250"	-0.155219	0.0795829	0.476289	164	150	107	255
"251"	-0.153219	0.0792043	0.475178	132	118	75	255
"252"	-0.152255	0.0799882	0.481133	116	102	59	255
"253"	-0.142345	0.0761668	0.462566	161	148	110	255
"254"	-0.140529	0.0759582	0.462466	150	137	100	255
"255"	-0.13421	0.0810475	0.501173	159	150	111	255
"256"	-0.132402	0.0809888	0.502076	159	151	107	255
"257"	-0.130364	0.0806055	0.500963	138	124	104	255
"258"	-0.187799	0.0911018	0.544165	154	145	106	255
"259"	-0.185955	0.0910364	0.545065	137	128	98	255
"260"	-0.155749	0.0780536	0.478322	161	149	108	255
"261"	-0.153444	0.0773498	0.475192	147	134	96	255
"262"	-0.152923	0.0786075	0.484176	85	70	32	255
"263"	-0.142839	0.0746684	0.464597	164	151	113	255
"264"	-0.141018	0.0744591	0.464498	163	150	113	255
"265"	-0.132981	0.0795367	0.505114	158	151	103	255
"266"	-0.130822	0.0789957	0.502993	113	102	69	255
"267"	-0.188958	0.0898909	0.549237	154	144	103	255
"268"	-0.187101	0.0898211	0.550137	156	146	109	255
"269"	-0.156434	0.0766747	0.481366	162	150	109	255
"270"	-0.15397	0.075817	0.477225	145	132	94	255
"271"	-0.153299	0.0768891	0.485199	86	71	33	255
"272"	-0.143472	0.0733183	0.467638	159	148	111	255
"273"	-0.141642	0.0731081	0.467538	156	142	108	255
"274"	-0.133793	0.078382	0.510167	160	152	108	255
"275"	-0.131395	0.0775316	0.50603	148	137	104	255
"276"	-0.189389	0.0880052	0.550264	155	145	102	255
"277"	-0.18789	0.0882555	0.553186	153	144	105	255
"278"	-0.156814	0.0749623	0.48239	162	150	107	255
"279"	-0.154346	0.074115	0.478249	153	140	102	255
"280"	-0.153379	0.0748493	0.484204	105	92	55	255
"281"	-0.143831	0.0716386	0.468661	156	145	107	255
"282"	-0.141864	0.0712716	0.467552	152	139	102	255
"283"	-0.134261	0.0767375	0.512197	160	150	109	255
"284"	-0.131743	0.0757432	0.507052	157	146	109	255
"285"	-0.12903	0.0744448	0.499894	103	90	53	255
"286"	-0.189637	0.0859546	0.55028	155	145	102	255
"287"	-0.1885	0.0865147	0.555224	155	146	105	255
"288"	-0.156272	0.0723092	0.477355	160	148	107	255
"289"	-0.154873	0.0725629	0.480282	155	142	105	255
"290"	-0.153458	0.0728147	0.483209	113	100	63	255
"291"	-0.144467	0.0702612	0.471701	158	147	109	255
"292"	-0.142491	0.0698959	0.470592	146	135	98	255
"293"	-0.134614	0.0749304	0.51322	161	149	108	255
"294"	-0.132091	0.0739492	0.508075	159	146	108	255
"295"	-0.129927	0.0734238	0.505953	115	100	63	255
"296"	-0.102035	0.0725547	0.521449	170	161	122	255
"297"	-0.189885	0.0839039	0.550295	155	143	100	255
"298"	-0.188207	0.0839818	0.552206	156	146	105	255
"299"	-0.188834	0.0860853	0.567261	155	147	103	255
"300"	-0.155099	0.0706942	0.480297	158	145	107	255
"301"	-0.153388	0.0706327	0.481204	120	107	70	255
"302"	-0.145242	0.0690188	0.475751	158	148	105	255
"303"	-0.14312	0.0685038	0.473632	160	149	112	255
"304"	-0.132668	0.0724466	0.511112	163	149	108	255
"305"	-0.130384	0.0717773	0.507983	134	119	81	255
"306"	-0.102345	0.0707082	0.522469	171	160	122	255
"307"	-0.100014	0.0697619	0.517335	174	163	126	255
"308"	-0.189949	0.0816992	0.549299	155	143	100	255
"309"	-0.187913	0.0814648	0.549188	155	145	110	255
"310"	-0.185161	0.0806174	0.545032	144	135	104	255
"311"	-0.155629	0.0691255	0.48233	159	147	106	255
"312"	-0.153614	0.068761	0.481218	143	130	92	255
"313"	-0.14602	0.0677545	0.479801	157	147	104	255
"314"	-0.143616	0.0669471	0.475664	152	142	101	255
"315"	-0.133475	0.0712192	0.516165	163	149	106	255
"316"	-0.131065	0.0704109	0.512028	154	142	101	255
"317"	-0.102798	0.0691377	0.5255	167	156	118	255
"318"	-0.100526	0.0683444	0.52137	158	147	109	255
"319"	-0.190381	0.0798019	0.550326	156	144	101	255
"320"	-0.187797	0.0791146	0.547181	153	145	101	255
"321"	-0.184871	0.078128	0.542014	146	136	101	255
"322"	-0.156008	0.0673985	0.483354	161	147	106	255
"323"	-0.153392	0.0664477	0.478204	133	119	78	255
"324"	-0.146246	0.0658849	0.479815	156	146	103	255
"325"	-0.143704	0.0649425	0.474669	159	149	108	255
"326"	-0.141722	0.0645843	0.473559	77	66	28	255
"327"	-0.133484	0.0689628	0.514165	160	148	105	255
"328"	-0.131525	0.068737	0.514057	159	147	104	255
"329"	-0.129348	0.0682261	0.511936	114	102	61	255
"330"	-0.103539	0.0681034	0.532552	166	154	113	255
"331"	-0.10159	0.0680078	0.533447	160	149	112	255
"332"	-0.191367	0.0783444	0.554388	156	144	101	255
"333"	-0.188044	0.0770712	0.547196	154	147	99	255
"334"	-0.185296	0.0762459	0.54304	148	138	103	255
"335"	-0.185039	0.0774885	0.55304	109	98	67	255
"336"	-0.156387	0.0656658	0.484378	160	146	105	255
"337"	-0.153618	0.0645836	0.478218	130	115	77	255
"338"	-0.151909	0.0645141	0.479126	114	96	60	255
"339"	-0.146611	0.0641583	0.480838	159	146	108	255
"340"	-0.144065	0.063229	0.475692	155	142	104	255
"341"	-0.142614	0.0634435	0.478617	80	67	29	255
"342"	-0.141147	0.0636561	0.481541	86	71	33	255
"343"	-0.140176	0.0644346	0.488497	150	133	95	255
"344"	-0.131987	0.0670521	0.516087	159	147	104	255
"345"	-0.129585	0.0662662	0.51195	121	107	66	255
"346"	-0.105576	0.0659089	0.529662	163	147	104	255
"347"	-0.104356	0.0671664	0.54061	161	144	104	255
"348"	-0.103284	0.0688225	0.554571	161	146	109	255
"349"	-0.192171	0.0767195	0.557438	157	145	102	255
"350"	-0.188291	0.0750277	0.547212	154	147	99	255
"351"	-0.185541	0.0742131	0.543056	155	145	108	255
"352"	-0.186172	0.0761528	0.558111	141	127	107	255
"353"	-0.154293	0.0631446	0.481261	133	118	80	255
"354"	-0.152724	0.0632128	0.483178	108	93	56	255
"355"	-0.146837	0.0622856	0.480853	158	145	107	255
"356"	-0.144563	0.06165	0.477724	155	142	104	255
"357"	-0.143108	0.0618557	0.480648	136	121	83	255
"358"	-0.141505	0.0619199	0.482563	87	70	32	255
"359"	-0.139891	0.0619828	0.484478	157	138	98	255
"360"	-0.132225	0.0650813	0.516102	160	148	105	255
"361"	-0.129821	0.0643061	0.511965	149	135	94	255
"362"	-0.127653	0.063807	0.509844	91	77	36	255
"363"	-0.105892	0.0640293	0.530682	150	134	91	255
"364"	-0.105106	0.0660533	0.547663	138	122	79	255
"365"	-0.104852	0.0692587	0.573685	146	121	84	255
"366"	-0.193161	0.0752213	0.5615	156	144	101	255
"367"	-0.18872	0.0731268	0.548239	154	146	102	255
"368"	-0.186146	0.0724649	0.545093	148	138	103	255
"369"	-0.184651	0.0726578	0.548016	126	115	82	255
"370"	-0.15497	0.0616893	0.484304	140	127	89	255
"371"	-0.153098	0.0614735	0.484201	107	91	57	255
"372"	-0.147063	0.0604126	0.480867	157	144	106	255
"373"	-0.144788	0.0597851	0.477738	156	143	106	255
"374"	-0.143334	0.0599826	0.480663	143	128	91	255
"375"	-0.1416	0.0599044	0.481569	85	67	31	255
"376"	-0.140247	0.0602353	0.4855	154	135	97	255
"377"	-0.130388	0.062749	0.515002	161	146	108	255
